source_genesymbol	target_genesymbol	references	sources
ARNT	AHR	14529614;15492120;18540824;23196670	TRRUST_from_CollecTRI
AHR	ARNT	11238907;14529614;19255421;23196670;8631989	TRRUST_from_CollecTRI
ETV4	PLAUR	11234878;11238946	TRRUST_from_CollecTRI
SPI1	CYBB	10233904;11241298;11926990;15618156;9593745	TRRUST_from_CollecTRI
USF1	APC	11241666	TRRUST_from_CollecTRI
USF2	APC	11241666	TRRUST_from_CollecTRI
JUN	NOS2	11254551;12020969;12788789;14686613;14962367;16421203;16771680;17105733;17940019;18596035;9776360	TRRUST_from_CollecTRI
SPI1	IL12B	11254706;11449355;25567680	TRRUST_from_CollecTRI
REL	IL2	11254713;11313336;11917142;12646638;15079071;16585559;17182554;17641034;21371435;21832163;21890374;22860011;24853588;27898347;7623820;7744006;7969133;7982907;8152309;8383323;8670878;8814256;8920856;8934574;8977179;9233628;9547358;9605137	TRRUST_from_CollecTRI
JUND	IVL	10816578;11254751;17205062;17882273;7759510	TRRUST_from_CollecTRI
SP1	GJA1	10421804;11255234;16652385;18513187;19339281;19679555;22549838	TRRUST_from_CollecTRI
NR0B1	AMH	11259267;11990799;12732652;13678390;15829514	TRRUST_from_CollecTRI
SOX9	AMH	11097782;11259267;12732652;14689607;21187121;24705165;9707325;9774680	TRRUST_from_CollecTRI
SF1	NR0B1	11923472;9232190	TRRUST_from_CollecTRI
SRF	DMD	11259421;9032300;9571041	TRRUST_from_CollecTRI
SP3	MAOB	11259630;11956220;12855685;15024015;15279563	TRRUST_from_CollecTRI
SP1	MAOB	11259630;11956220;12855685;14697878;15024015;15279563;19401466;20980443	TRRUST_from_CollecTRI
MYBL2	CCNA1	11264176;15922873	TRRUST_from_CollecTRI
NR3C1	SCNN1A	10212217;10419459;11266509;11390395	TRRUST_from_CollecTRI
USF1	CYP1A1	11270661;9374477;9388470	TRRUST_from_CollecTRI
ETV4	PTGS2	11274170;11901151;21150337;24983502	TRRUST_from_CollecTRI
NFE2L2	HMOX1	11274184;12745069;14688281;14747657;15122755;15870071;16407140;16480751;16551619;16945925;16951197;17313370;17408602;17942419;18006113;18202225;18381655;18567745;18586007;18704831;18771089;19056485;19454702;19679681;19931411;20083128;20345481;20402460;20558128;20643109;21037234;21382013;21443188;21597468;21622983;21635873;21658364;21808062;21908612;21982894;22107958;22245129;22370642;22459801;22484158;22521774;22541814;22793650;22901690;23000247;23046979;23294286;23347118;23413426;23479260;23525690;23571756;23738042;23826208;23904790;24024136;24035498;24140584;24211276;24434148;24503931;24755082;24759106;24844779;25337552;31257023	TRRUST_from_CollecTRI
ESR1	CDKN1A	11274368;11517191;12151347;15378598;15557281;16469747;16628468;16847062;17681750;20301197;20696891;22787161;23349794	TRRUST_from_CollecTRI
TP53	CASP1	11278253;12459463;15580302;16135520;21943362	TRRUST_from_CollecTRI
PPARG	PTGS2	10827178;11278336;11412039;14555539;16506021;19578162;19997048;20234816;20656057	TRRUST_from_CollecTRI
JUN	BCL2L1	11278399;11332715;15789036;16911523	TRRUST_from_CollecTRI
POU2F1	CDX2	11278400;16278805;20637099;20876643;21051540	TRRUST_from_CollecTRI
WT1	SRY	11278460;18445271;19457926	TRRUST_from_CollecTRI
TFAP2A	SOD2	11278550;11491651;11853549;11912921;15598343;18779124;23500038;7702755;9199894	TRRUST_from_CollecTRI
FLI1	COL1A2	11278621;19158279;22591006;24058639	TRRUST_from_CollecTRI
STAT3	HGF	11278729;12168776;14647442;16407846;17967179;18835816;23954444	TRRUST_from_CollecTRI
SP1	APOA1	10829013;11121483;11278817;15164326;15375792;22901716;23293065	TRRUST_from_CollecTRI
ZNF239	RBP3	11278819;12409453	TRRUST_from_CollecTRI
HIF1A	EDN1	11278891;11352889;12023962;17431122;18411415;19783678	TRRUST_from_CollecTRI
CEBPD	PDGFRA	10464291;11278956;12130557;9915775	TRRUST_from_CollecTRI
GATA4	NPPB	11279028;11862325;15464586	TRRUST_from_CollecTRI
JUN	IL12B	11279072;14688340;15187114;15270850;25567680	TRRUST_from_CollecTRI
SRF	TAGLN	11279108;11988486;12023898;12791591;14654367;14970199;14975939;15217807;15242862;16690609;18805960;19776005;20511232;21673106;9121477;9242426;9545312	TRRUST_from_CollecTRI
E4F1	CCNA2	11283272;14645522;15805267	TRRUST_from_CollecTRI
ZBTB17	CDKN2B	11283613;12244100;15095404;19164764;19419955;22000024;24618291	TRRUST_from_CollecTRI
HNF1A	AKR1C4	11284743;12220531;2044952	TRRUST_from_CollecTRI
SP1	SLC9A2	11254504;11287330;17379926;17561809	TRRUST_from_CollecTRI
SP3	SLC9A2	11287330;17379926;17561809	TRRUST_from_CollecTRI
PPARG	CCND1	11287611;14764597;15041706;15193259;15486348;18927468;19075513;20651819;23455892	TRRUST_from_CollecTRI
FOS	CCND1	11287611;14508521;15282324;15994929;19847806;20188076;21474819;22550166;23157741;9710644	TRRUST_from_CollecTRI
MYB	CD4	11287612;1347906;8398978	TRRUST_from_CollecTRI
HES1	CD4	11287612;18287091;18852286;9819403	TRRUST_from_CollecTRI
MTF1	PGF	11289150;19022893;19956853	TRRUST_from_CollecTRI
SP1	CDK6	11297539;12840223	TRRUST_from_CollecTRI
SP1	P2RX4	11299224	TRRUST_from_CollecTRI
WT1	AR	11299720	TRRUST_from_CollecTRI
TP53	DNMT1	14583449;18038118;18555750;20570896;21478913	TRRUST_from_CollecTRI
DNMT1	TP53	11304577;11965244;15657147;21042757;24006445	TRRUST_from_CollecTRI
TCF3	CDH1	11309385;12508111;16273209;17490644;20053763;23555842	TRRUST_from_CollecTRI
MITF	DCT	11310793;11543611;12032083;12753399;14706856;15250937;15892717;19067971;1999537;19995375;22371403;8995290	TRRUST_from_CollecTRI
TFAP2A	F2R	11310795;12789289;12975361;20805990	TRRUST_from_CollecTRI
TFAP2A	FAS	11310795;7528667	TRRUST_from_CollecTRI
TFAP2A	KIT	11310795;20805990;9687504	TRRUST_from_CollecTRI
POU3F2	DDC	11311976;14741405;9602135	TRRUST_from_CollecTRI
E2F1	RPA2	11313881	TRRUST_from_CollecTRI
MYB	PDCD4	11313950;11470166;12082539;23606399	TRRUST_from_CollecTRI
TBP	BCL2	11313951	TRRUST_from_CollecTRI
ZFHX3	AFP	11314020;11786962;14654895;15671546;15750593;17671116;18312352;25105025;7507206	TRRUST_from_CollecTRI
TAF1	TBP	11316804;15808844;16858867;9699517	TRRUST_from_CollecTRI
STAT3	A2M	11319221;11438543;11466367;16959875;17487688;7509445;7519723;7592638;7876144;8964411;9266835;9722518	TRRUST_from_CollecTRI
DNMT1	TERT	11319624;19914212;20625516	TRRUST_from_CollecTRI
JUN	CYP11A1	11057754;11325530;17210646;7629150	TRRUST_from_CollecTRI
JUN	MMP9	10935492;11326313;11429784;11774399;15708369;15777790;15949416;16014933;16554298;16798740;17572495;18809380;19455716;21474819;21963718;23176293;9136992	TRRUST_from_CollecTRI
USF1	TOP3A	11327713;11557042;9748294	TRRUST_from_CollecTRI
YY1	TOP3A	11327713;9748294	TRRUST_from_CollecTRI
NRL	RHO	11328746;11477108;12566383;15277472;15328344;17141759;17653056;17656371;20551322;22354990;24301678;24499263;8552602;8939891;9931337	TRRUST_from_CollecTRI
NR5A1	FSHR	11328853;12021044;21734262	TRRUST_from_CollecTRI
NR1I2	ABCB1	11329060;16013442;16847427;17003290;17011724;17526937;18540626;20041327;20558333;20624464;20719396;20921307;22363234;23878263	TRRUST_from_CollecTRI
NR5A2	CETP	11331284	TRRUST_from_CollecTRI
SMAD3	BGLAP	11278818;11331591	TRRUST_from_CollecTRI
MITF	CTSK	11331755;14993931;17105730;19067971;19288495;21602817	TRRUST_from_CollecTRI
JUND	IL6	10037779;11337499;11886848;12727841;24676671	TRRUST_from_CollecTRI
JUND	TIMP1	10051488;11337499;12525489;15860571;17133482	TRRUST_from_CollecTRI
FOSB	TIMP1	10051488;11337499	TRRUST_from_CollecTRI
SP1	CES1	11337511;11409902;18305377;18328811	TRRUST_from_CollecTRI
TFAP2A	TAF7	11340078;12364593	TRRUST_from_CollecTRI
CEBPA	LEP	11340085;12049196;12861022;16461934;21304902;21983012;23544093;8570651;8633022;9030601;9790921	TRRUST_from_CollecTRI
MYC	CEBPA	12695333;15681429;15867211;17082780;19259613;20097210;7556187;8076602	TRRUST_from_CollecTRI
CEBPA	MYC	11340171;12032779;12757710;20581311	TRRUST_from_CollecTRI
SP1	CD28	10510368;11342633	TRRUST_from_CollecTRI
EGR1	CD28	10510368;11342633	TRRUST_from_CollecTRI
SP1	COL1A1	10082137;10091149;10775443;11348466;12138160;16564026;16575855;17698844;7504695;7590335;9666093	TRRUST_from_CollecTRI
SP1	TIMP1	11348466;11830330;15048879;16931573;22415074;9478976	TRRUST_from_CollecTRI
USF1	PTGS2	11356200;11967217;14660559;15205395;15927963;17074806;17186551;18817855	TRRUST_from_CollecTRI
IRF1	BCL2	10918594;11359801	TRRUST_from_CollecTRI
PAX5	CD19	10666449;11359826;12907641;1375324;15163413;17513763;18617575;20208555;7532151;7541987;8639790;9722295	TRRUST_from_CollecTRI
HIF1A	HIF1A	11359907;11440977;12370277;12479793;12586627;12928580;14744852;15199132;15342390;15695372;15780936;15806152;15821583;16025159;16331995;16399861;16481368;16507742;16596228;16611863;16924414;16954428;17046066;17190738;17557905;17637739;17898080;17916562;18329003;18432192;18498249;18506761;18644974;18752464;18978810;19046997;19211554;19552765;19828131;19845622;20179204;20713124;20829524;21042279;21207956;21209004;21258402;21468925;21540178;21773947;22050843;22112782;22964004;23185615;23530034;23958427;23979441;24349374;24558194;9235919;9393757;9436976;9782081	TRRUST_from_CollecTRI
RELA	NFKB1	16135789;16513645;16513841;16778171;1740105;19469019;20427719;20596645;21420936;23362108;8454856;9417120	TRRUST_from_CollecTRI
AHR	UGT1A6	11368516;19525444;19831498;8068691;9466822;9762354	TRRUST_from_CollecTRI
SP1	GDA	11369448	TRRUST_from_CollecTRI
SP1	CD99	11369656;17473187;22083306;8460398	TRRUST_from_CollecTRI
TP53	NKX3-1	17202838	TRRUST_from_CollecTRI
SP1	POLD1	11375983;9030545	TRRUST_from_CollecTRI
TP53	POLD1	11375983	TRRUST_from_CollecTRI
CREB1	BDNF	11377882;11719924;14735135;16337876;17164818;17456785;17599098;18063565;19046370;19712055;20100784;21335064;21677163;22179316;23946409;25031400;32603820;9581763;9581764	TRRUST_from_CollecTRI
PPARG	PTEN	11378386;16425225;16775433;18065496;20198337;23867870	TRRUST_from_CollecTRI
NR1H4	ABCB11	11387316;11870371;12052824;12135489;15471871;16371446;16819395;17135343;18270374;18668687;19833092;22345554;23546875	TRRUST_from_CollecTRI
BCL3	RELA	7896265	TRRUST_from_CollecTRI
RELA	BCL3	11387332	TRRUST_from_CollecTRI
E2F1	APAF1	11389439;12149244;12766778;15972851;17600109;18056406;18093951;18524851;18951482	TRRUST_from_CollecTRI
TP53	APAF1	11389439;11559530;11591730;11896574;12883670;15077176;15972851;17043642;18951482	TRRUST_from_CollecTRI
RELA	CSF2	10608823;11395507;11418664;14741709;18056447;18230685;18285351;21071440;7636192;8135780;8934574;9190901;9414129;9596659	TRRUST_from_CollecTRI
STAT1	ACAT1	11399774;18000807	TRRUST_from_CollecTRI
SP3	CBS	11415440;12427542	TRRUST_from_CollecTRI
STAT6	IL13	11415942;12776189;16084752;17142763;20308800	TRRUST_from_CollecTRI
SP1	AGTR1	11072083;11416035;11779634;15507319;18443233;19129260;22282354;23475749	TRRUST_from_CollecTRI
TFAP2A	CDKN1A	11420667;12226108;16288208;16867219;17875680;18955504;20805990;21084835;8988173;9473523	TRRUST_from_CollecTRI
DNMT1	RB1	11420729;11847125;16616919;17575144;17934516	TRRUST_from_CollecTRI
HSF1	HSPA1B	11423545;18434628;19336471;20692357;21085490;21932106;24041570	TRRUST_from_CollecTRI
SPI1	ACP5	11425859;11481336;14962802;18063694	TRRUST_from_CollecTRI
SP1	MAT2A	11124935;11427482;11476892	TRRUST_from_CollecTRI
NR0B1	CYP19A1	11427738;12213901;14580722;17342735;22427816;23846226	TRRUST_from_CollecTRI
SP1	CA9	11429308;11672442;12615703;15184875;16270297	TRRUST_from_CollecTRI
STAT3	BCL2	10626893;11431352;12400004;14523036;15184887;15805299;16048438;16144938;17089128;17997399;18320073;18839277;18981713;19103760;19287190;19926637;20043094;20233902;20422978;20446017;20514402;20880395;21172343;21344490;21385902;21435102;22313388;22504301;22984561	TRRUST_from_CollecTRI
SP1	ENG	11432852;12228247;12433697;21146604	TRRUST_from_CollecTRI
E2F1	TERT	11433024;12368233;16264179;18818403;19358274;21411498;22207128;22654424	TRRUST_from_CollecTRI
HOXA7	IVL	11435435	TRRUST_from_CollecTRI
BMAL1	CRY1	11441147;11798163;14581485;16628007;17660446;18433872;18728219;19605937;20215567;20817722;20852621;22750052;24089055	TRRUST_from_CollecTRI
BMAL1	PER2	11441147;11798163;17660446;19168071;20215567;20576619;20852621;21960634;22039518;22750052;23469106;23620290;24051492	TRRUST_from_CollecTRI
NPAS2	CRY1	11441147;17660446	TRRUST_from_CollecTRI
NPAS2	PER1	11441147;17660446;20817722	TRRUST_from_CollecTRI
NPAS2	PER2	11441147;16636276;17660446;22039518	TRRUST_from_CollecTRI
SREBF1	PCK1	11443121;14722127;14744869	TRRUST_from_CollecTRI
SP1	COL2A1	11447232;12637574;12888570;16650379;18044710;18065760	TRRUST_from_CollecTRI
SP3	COL2A1	11447232;12888570;18065760	TRRUST_from_CollecTRI
CDX2	VDR	11450701;16604479;16883525;19960008;9933478	TRRUST_from_CollecTRI
ESR1	F12	11459781;9794469	TRRUST_from_CollecTRI
TP53	BBC3	11463391;11463392;11572983;11756653;12384701;14665630;15007388;15489892;15790310;15988033;16151013;16462759;17047080;17280505;17360476;17390010;17440969;17610896;17989286;18397889;18579560;18657356;18755897;20190809;20331637;20478995;21835778;22763818;22948151;23678107;23916609	TRRUST_from_CollecTRI
SP1	MYC	11470523;2057364;2284094;7753559;8355712;8437848;9492315	TRRUST_from_CollecTRI
SP1	CYP7B1	11470525;19729835	TRRUST_from_CollecTRI
NFKB1	FAS	10022897;10871852;11473033;16317104;16784892;19628709;7528667;9733827	TRRUST_from_CollecTRI
SMAD3	PTHLH	11473361;11590145;12628005;24330518	TRRUST_from_CollecTRI
SP2	MAT2A	11124935;11476892	TRRUST_from_CollecTRI
SP3	MAT2A	11124935;11476892	TRRUST_from_CollecTRI
SP1	IFNGR1	11477089;17339358	TRRUST_from_CollecTRI
ONECUT2	MITF	11478782	TRRUST_from_CollecTRI
SP1	GSTP1	11481261;11606500;11960994;11967987;12502798;19856314;22425687;22580340;8557630	TRRUST_from_CollecTRI
ETS1	ABCB1	11483599;20392592;22206665;9584201	TRRUST_from_CollecTRI
TFAP2B	ERBB2	10645007;11485026	TRRUST_from_CollecTRI
TFAP2C	ERBB2	10645007;11485026;18218085;19906305;20629094	TRRUST_from_CollecTRI
SP3	CYP3A5	11485307	TRRUST_from_CollecTRI
NFYA	SP3	16024108	TRRUST_from_CollecTRI
NFAT5	TNF	11485737;16027109	TRRUST_from_CollecTRI
EGR2	GJB1	11493034;11734543;12609493;15470753	TRRUST_from_CollecTRI
SP3	CYP3A7	11495920	TRRUST_from_CollecTRI
SP1	CYP3A4	11495920;15100175	TRRUST_from_CollecTRI
SP1	CYP3A7	11495920	TRRUST_from_CollecTRI
EGR1	CCND1	11502738;16267018;16547599;16926376;19850937;20590664;23872169;9407106	TRRUST_from_CollecTRI
EGR1	CDKN1A	11502738;12690110;17307334;18316600;19508870;20368687;21642427;24384380	TRRUST_from_CollecTRI
JUN	AR	11504717;12917209;15327830;16732317;20148354;8798722;9591784;9867253	TRRUST_from_CollecTRI
AR	JUN	14614224;16732317;20148354;20610535	TRRUST_from_CollecTRI
MYC	CCNE1	11509615;11983916;14519204;18802399;20607601;22583478;9188852	TRRUST_from_CollecTRI
SOX9	CDKN1A	11514554;19273910;20651055	TRRUST_from_CollecTRI
SP3	IGFBP3	11517158;12200149;15247904;16456404	TRRUST_from_CollecTRI
SP1	IGFBP3	11517158;12200149;15247904	TRRUST_from_CollecTRI
STAT5B	IGF1	11517160;12682066;14532269;15677453;16141355;17509524;18276757;20139685;20372799;20378540;20702579;22419735;24914937	TRRUST_from_CollecTRI
TFAP2A	LNPEP	11517297;11798181;14527672;15894523	TRRUST_from_CollecTRI
KLF4	CDX2	23202735	TRRUST_from_CollecTRI
CDX2	KLF4	11521200;23202735	TRRUST_from_CollecTRI
YY1	VWF	11522021;23580145	TRRUST_from_CollecTRI
TP53	HIPK2	11532197;11740489;11925430;16343438;17658469;18336191;18483253;18809579;19642869;19828042;21248071	TRRUST_from_CollecTRI
HIPK2	TP53	12851404	TRRUST_from_CollecTRI
PPARG	ADIPOQ	11533050;12829629;12927809;15764598;16803864;18296319;18373719;18804108;19324019;19833717;19843873;19954946;20473515;20484463;20622112;20668453;23381555	TRRUST_from_CollecTRI
YY1	HLA-DRA	11533238;19252299;23041127	TRRUST_from_CollecTRI
NR0B2	CYP8B1	11535594;12525500;15581596;18323469;21566081	TRRUST_from_CollecTRI
STAT6	CCL26	11544308;15589317;16084752;16810739;18191727;18342537;19419769;21325281;23185525	TRRUST_from_CollecTRI
TP53	PTEN	11545734;12839924;12917634;14984207;15843377;17344317;18172008;19079342;19173293;20554748;21637289;22957312	TRRUST_from_CollecTRI
TP53	EGFR	10029407;11546792;11713584;1586628;18359760;18391986;18604200;19597475;20190820;8152794;8887630;9285564;9664135	TRRUST_from_CollecTRI
PHOX2B	PHOX2A	11549713;11752063;15888479	TRRUST_from_CollecTRI
KLF4	LAMA3	11551969	TRRUST_from_CollecTRI
PAX6	SIX3	11554737;12072567	TRRUST_from_CollecTRI
TBX5	NPPA	11555635;14573514;14978031;15158141;17468179;17584735;18451335	TRRUST_from_CollecTRI
USF2	TOP3A	11557042	TRRUST_from_CollecTRI
ELK1	FOS	11313879;11557580;11846562;11850800;12054430;12231642;15607527;15746191;16337472;18374651;18434015;18557893;19581295;20682780;20694674;21655091;21914770;7890710;7958835;8007980;8164681;8548291;8764983;8846788;8986626;9111305;9142901;9315625;9885561	TRRUST_from_CollecTRI
TP53	CHUK	11557753;15469934;17434128	TRRUST_from_CollecTRI
E2F1	BCL2	11559537;12679318;17404573	TRRUST_from_CollecTRI
SP1	HRAS	11559711;1776841;21931711;3012774;8027084;8106522;8208618	TRRUST_from_CollecTRI
SP1	CXCL5	11559712	TRRUST_from_CollecTRI
ZNF148	CXCL5	11559712	TRRUST_from_CollecTRI
NFKB1	BCL2	11567031;12032828;12835724;14739605;14978135;15120608;15934930;16022909;16254192;16453001;17098279;17673602;18031796;18158998;18566231;18761399;18987666;19233129;19259124;20103608;20332461;20446017;21224428;21503108	TRRUST_from_CollecTRI
SP1	GRIN1	11571288;12425938;15950782;20381604;7706322;9748305	TRRUST_from_CollecTRI
SMAD4	FSTL3	11571638	TRRUST_from_CollecTRI
TP53	AFP	11572852;11798803;11891535;14522900;15657445;15743813;16203738;18212064;18573881;9891062	TRRUST_from_CollecTRI
FOXM1	CCNB1	11572993;11682060;15671063;19097132;19276163;23812424	TRRUST_from_CollecTRI
PAX8	SLC5A5	11573135;14623893;14630715;15961562;17614769;18202153;20667985;22531031	TRRUST_from_CollecTRI
SP1	MMP28	11574168;20144149	TRRUST_from_CollecTRI
SP1	PAX6	11574690	TRRUST_from_CollecTRI
TFCP2	PAX6	11574690	TRRUST_from_CollecTRI
SATB1	CYBB	11577075;14605447	TRRUST_from_CollecTRI
BCL6	CDKN1A	11579468;16142238	TRRUST_from_CollecTRI
NR5A2	NR5A2	11590139;11668176;12853459;14593077;18191017;18628394;23689136;8666201	TRRUST_from_CollecTRI
TP73	CDK1	11593387;19067706;19861536	TRRUST_from_CollecTRI
ATF6	ATP2A2	11595740	TRRUST_from_CollecTRI
CEBPG	SFTPD	11596110;11912209	TRRUST_from_CollecTRI
CEBPA	SFTPD	11596110;11912209	TRRUST_from_CollecTRI
CEBPB	SFTPD	11596110;11912209	TRRUST_from_CollecTRI
MYC	CDCA7	11598121;15994934;16580749	TRRUST_from_CollecTRI
TP53	EPHA2	11641774;17050670;21394211;23518503	TRRUST_from_CollecTRI
STAT3	MMP1	11665970;14688368;16205632;17460772;21410405	TRRUST_from_CollecTRI
SIRT1	TP53	15130752;15632193;23661372	TRRUST_from_CollecTRI
SP1	OPRM1	11675004;17990281;19164126;19765550;20385708	TRRUST_from_CollecTRI
SP3	OPRM1	11675004;15703380;17130167	TRRUST_from_CollecTRI
JUN	APP	11677255;8015372;8063812	TRRUST_from_CollecTRI
NR1I3	CYP2C9	11679585;12181452;15919766;16749864;18552123;19702536;20167002;20371638;24960263	TRRUST_from_CollecTRI
STAT5A	ESR1	11682624;11682625;11731618;22201800	TRRUST_from_CollecTRI
STAT5B	ESR1	11682625;11731618	TRRUST_from_CollecTRI
SP1	FABP6	11684682	TRRUST_from_CollecTRI
STAT3	FOS	11685114;12600988;12640143;14737107;15040450;16293640;17204573;8071311	TRRUST_from_CollecTRI
YY1	IL4	11687571;21989417	TRRUST_from_CollecTRI
E2F4	MYC	11689553;12757710;17132729;17699159;24573694	TRRUST_from_CollecTRI
SMAD3	MYC	11689553;14993291;15930298;16205635;17114344;17132729;20516082;25238097	TRRUST_from_CollecTRI
CEBPB	PTPN13	11696979	TRRUST_from_CollecTRI
TP53	PTPN13	11696979;12459463	TRRUST_from_CollecTRI
CREB1	IL6	11701462;15467434;16424113;17495236;18617614;19162127;19342597;20100571;20160059;21209948;23874122;8725624	TRRUST_from_CollecTRI
EGR1	ACE	11713104;12433834;14679188;18577431;9737980	TRRUST_from_CollecTRI
TP53	BCL2L1	11713302;11713584;12705879;18172861;22869582;23519249;9000137;9582400;9989972	TRRUST_from_CollecTRI
TP53	MKI67	10365096;11713584;14675138;15217513;16258956;21611785	TRRUST_from_CollecTRI
